Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,Keywords,RelevanceScore,KeywordClusters,RefinedKeywordClusters,AllClusters,DominantCluster
Vis,1992,A characterization of the scientific data analysis process,10.1109/visual.1992.235203,http://dx.doi.org/10.1109/VISUAL.1992.235203,235.0,242.0,C,"It is shown how data visualization fits into the broader process of scientific data analysis. Scientists from several disciplines were observed while they analyzed their own data. Examination of the observations exposed process elements outside conventional image viewing. For example, analysts queried for quantitative information, made a variety of comparisons, applied math, managed data, and kept records. The characterization of scientific data analysis reveals activity beyond that traditionally supported by computer. It offers an understanding which has the potential to be applied to many future designs, and suggests specific recommendations for improving the support of this important aspect of scientific computing.&lt;&lt;ETX&gt;&gt;",R. R. Springmeyer;Meera Blattner;Nelson L. Max,R.R. Springmeyer;M.M. Blattner;N.L. Max,"Lawrence Livermore National Laboratory, University of California, Livermore, CA, USA;Lawrence Livermore National Laboratory, University of California, Livermore, CA, USA;Lawrence Livermore National Laboratory, University of California, Livermore, CA, USA",10.1109/visual.1990.146399,,167.0,45.0,15.0,183.0,,,scientific data analysis;reveals activity;outside conventional image;understanding potential;lt lt etx,0.6852;0.1869;0.1673;0.1467;0.0583,"[np.int64(-1), -1, -1, -1, -1]",281;-1;-1;-1;-1,281,281
Vis,1999,Visualizing Planar Vector Fields with Normal Component Using Line Integral Convolution,10.1109/visual.1999.809895,http://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809895,255.0,261.0,C,"We present a method for visualizing three dimensional vector fields which are defined on a two dimensional manifold only. These vector fields do exist in real application, as we show by an example of an optical measuring instrument which can gauge the displacement at the surface of a mechanical part. The general idea is to compute LIC textures in the manifold's tangent space and to deform the manifold according to the normal information. The resulting LIC texture is mapped onto the deformed manifold and is rendered as a three dimensional scene. Due to the light's reflection on the deformed manifold, one can interactively explore the result of the deformation.",Gerik Scheuermann;Holger Burbach;Hans Hagen,G. Scheuermann;H. Barbach;H. Hagen,"Technische Universität Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, DE;Technische Universität Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, DE;Technische Universität Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, DE",10.1109/visual.1994.346312;10.1109/visual.1994.346313;10.1109/visual.1990.146360;10.1109/visual.1998.745324,"LIC, vector field visualization, deformation",30.0,6.0,0.0,26.0,,,deformed manifold interactively;lic textures;vector;measuring instrument;fields exist real,0.6086;0.3148;0.2274;0.1729;0.0913,"[np.int64(-1), -1, -1, -1, -1]",5;-1;-1;-1;-1,5,5
InfoVis,1998,IVORY-an object-oriented framework for physics-based information visualization in Java,10.1109/infvis.1998.729562,http://dx.doi.org/10.1109/INFVIS.1998.729562,79.0,,C,"We present IVORY a newly developed, platform-independent framework for physics based visualization. IVORY is especially designed for information visualization applications and multidimensional graph layout. It is fully implemented in Java 1.1 and its architecture features client server setup, which allows us to run the visualization even on thin clients. In addition, VRML 2.0 exports can be viewed by any VRML plugged-in WWW browser. Individual visual metaphors are invoked into IVORY via an advanced plug-in mechanism, where plug-ins can be implemented by any experienced user. The configuration of IVORY is accomplished using a script language, called IVML. Some interactive visualization examples, such as the integration of a haptic interface illustrate the performance and versatility of our system. Our current implementation supports NT 4.0.",Thomas C. Sprenger;Markus H. Gross;Daniel Bielser;Tobias Strasser,T.C. Sprenger;M.H. Gross;D. Bielser;T. Strasser,"Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland;Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland;Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland;Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland",10.1109/infvis.1995.528691;10.1109/visual.1996.567752;10.1109/infvis.1997.636759;10.1109/infvis.1995.528688;10.1109/infvis.1996.559226;10.1109/infvis.1995.528691,"three-dimensional information visualization,physics-based graph layout, object-oriented visualization toolkit,multidimensional information modeling, time varying data",31.0,6.0,26.0,89.0,,,ivml interactive visualization;framework physics;supports nt;script;ivory newly developed,0.6468;0.2724;0.1701;0.1420;0.0344,"[np.int64(-1), -1, -1, -1, -1]",319;-1;-1;-1;-1,319,319
Vis,2005,Curve-skeleton applications,10.1109/visual.2005.1532783,http://dx.doi.org/10.1109/VISUAL.2005.1532783,95.0,102.0,C,"Curve-skeletons are a 1D subset of the medial surface of a 3D object and are useful for many visualization tasks including virtual navigation, reduced-model formulation, visualization improvement, mesh repair, animation, etc. There are many algorithms in the literature describing extraction methodologies for different applications; however, it is unclear how general and robust they are. In this paper, we provide an overview of many curve-skeleton applications and compile a set of desired properties of such representations. We also give a taxonomy of methods and analyze the advantages and drawbacks of each class of algorithms.",Nicu D. Cornea;Deborah Silver;Patrick Min,N.D. Cornea;D. Silver;P. Min,"Rutgers University, NJ, USA;Rutgers University, NJ, USA;John Cabot University, Rome, Italy",10.1109/visual.2004.34;10.1109/visual.2004.104;10.1109/visual.2002.1183754;10.1109/visual.1994.346327;10.1109/visual.1999.809912;10.1109/visual.2003.1250353;10.1109/visual.2001.964517;10.1109/visual.2004.34,"skeleton, curve-skeleton",133.0,20.0,97.0,728.0,,,curve skeletons 1d;subset medial surface;reduced model formulation;literature describing extraction;including virtual navigation,0.6498;0.3541;0.2026;0.1960;0.1847,"[np.int64(-1), -1, -1, -1, -1]",33;-1;-1;-1;-1,33,33
Vis,2003,Space efficient fast isosurface extraction for large datasets,10.1109/visual.2003.1250373,http://dx.doi.org/10.1109/VISUAL.2003.1250373,201.0,208.0,C,"In this paper, we present a space efficient algorithm for speeding up isosurface extraction. Even though there exist algorithms that can achieve optimal search performance to identify isosurface cells, they prove impractical for large datasets due to a high storage overhead. With the dual goals of achieving fast isosurface extraction and simultaneously reducing the space requirement, we introduce an algorithm based on transform coding to compress the interval information of the cells in a dataset. Compression is achieved by first transforming the cell intervals (minima, maxima) into a form which allows more efficient compaction. It is followed by a dataset optimized non-uniform quantization stage. The compressed data is stored in a data structure that allows fast searches in the compression domain, thus eliminating the need to retrieve the original representation of the intervals at run-time. The space requirement of our search data structure is the mandatory cost of storing every cell ID once, plus an overhead for quantization information. The overhead is typically in the order of a few hundredths of the dataset size.",Udeepta Bordoloi;Han-Wei Shen,U.D. Bordoloi;Han-Wei Shen,"Department of Computer and Information Science, Ohio State Uinversity, USA;Department of Computer and Information Science, Ohio State Uinversity, USA",10.1109/visual.1998.745299;10.1109/visual.1997.663895;10.1109/visual.1996.568121;10.1109/visual.1991.175780;10.1109/visual.1995.480806;10.1109/visual.1998.745299," Isosurface, Compression, Transform Coding, Quantization",43.0,5.0,15.0,88.0,,,fast isosurface extraction;cells dataset compression;retrieve original;interval;overhead dual goals,0.7021;0.5225;0.1013;0.0977;0.0485,"[np.int64(-1), np.int64(-1), -1, -1, -1]",91;42;-1;-1;-1,42;91,91
Vis,2022,Breaking the Fourth Wall of Data Stories through Interaction,10.1109/tvcg.2022.3209409,http://dx.doi.org/10.1109/TVCG.2022.3209409,972.0,982.0,J,"Interaction is increasingly integrating into data stories to support data exploration and explanation. Interaction can also be combined with the narrative device, breaking the fourth wall (BTFW), to build a deeper connection between readers and data stories. BTFW interaction directly addresses readers by requiring their input. Such user input is then integrated into the narrative or visuals of data stories to encourage readers to inspect the stories more closely. In this work, we explore the design patterns of BTFW interaction commonly used in data stories. Six design patterns were identified through the analysis of 58 high-quality data stories collected from a range of online sources. Specifically, the data stories were categorized using a coding framework, including the input of BTFW interaction provided by readers and the output of BTFW interaction generated by data stories to respond to the input. To explore the benefits as well as concerns of using BTFW interaction, we conducted a three-session user study including the reading, interview, and recall sessions. The results of our user study suggested that BTFW interaction has a positive impact on self-story connection, user engagement, and information recall. We also discussed design implications to address the possible negative effects on the interactivity-comprehensibility balance, information privacy, and the learning curve of interaction brought by BTFW interaction.",Yang Shi 0007;Tian Gao;Xiaohan Jiao;Nan Cao 0001,Yang Shi;Tian Gao;Xiaohan Jiao;Nan Cao,"Intelligent Big Data Visualization Lab, Tongji University, China;Intelligent Big Data Visualization Lab, Tongji University, China;Intelligent Big Data Visualization Lab, Tongji University, China;Intelligent Big Data Visualization Lab, Tongji University, China",10.1109/tvcg.2015.2467201;10.1109/tvcg.2013.124;10.1109/tvcg.2019.2934283;10.1109/tvcg.2013.130;10.1109/tvcg.2013.120;10.1109/tvcg.2010.179;10.1109/tvcg.2007.70515;10.1109/tvcg.2015.2467201;10.1109/tvcg.2021.3114849,"Interaction,data-driven storytelling,narrative devices",,6.0,78.0,1252.0,HM,,readers data stories;interaction generated;explanation;device breaking fourth;wall btfw,0.7015;0.2481;0.2370;0.2184;0.1407,"[np.int64(-1), -1, -1, -1, -1]",124;-1;-1;-1;-1,124,124
Vis,1991,Golf green visualization,10.1109/visual.1991.175787,http://dx.doi.org/10.1109/VISUAL.1991.175787,116.0,,C,"Television coverage of golf fails to bring the viewer an appreciation of the complex topography of a golf green and how that topography affects the putting of golf balls. A computer graphics simulation that enhances the viewer's perception of these features using shaded polygonal models of the actual golf green used in tournaments is presented. Mathematical modeling of the golf ball's trajectory on its way toward the hole further enhances viewer understanding. A putting difficulty map assesses the relative difficulty of putting from each location on the green to a given pin position. The object-oriented system is written in C and runs on a variety of 3D graphics workstations. As an experiment, the system was used at a professional golf tournament and correctly simulated all putts during the final round.&lt;&lt;ETX&gt;&gt;",William E. Lorensen;Boris Yamrom,W.E. Lorensen;B. Yamron,"Corporate Research and Development, General Electric Company Limited, Schenectady, NY, USA;General Electric Co., Schenectady, NY, USA",,,28.0,1.0,14.0,100.0,,,modeling golf;3d graphics workstations;using shaded polygonal;topography affects;fails bring viewer,0.7296;0.3496;0.3347;0.2704;0.0395,"[np.int64(-1), -1, -1, -1, -1]",300;-1;-1;-1;-1,300,300
Vis,1997,A topology modifying progressive decimation algorithm,10.1109/visual.1997.663883,http://dx.doi.org/10.1109/VISUAL.1997.663883,205.0,212.0,C,"Triangle decimation techniques reduce the number of triangles in a mesh, typically to improve interactive rendering performance or reduce data storage and transmission requirements. Most of these algorithms are designed to preserve the original topology of the mesh. Unfortunately, this characteristic is a strong limiting factor in overall reduction capability, since objects with a large number of holes or other topological constraints cannot be effectively reduced. The author presents an algorithm that yields a guaranteed reduction level, modifying topology as necessary to achieve the desired result. In addition, the algorithm is based on a fast local decimation technique, and its operations can be encoded for progressive storage, transmission, and reconstruction. He describes the new progressive decimation algorithm, introduces mesh splitting operations and shows how they can be encoded as a progressive mesh. He also demonstrates the utility of the algorithm on models ranging in size from 1,132 to 1.68 million triangles and reduction ratios of up to 200:1.",William J. Schroeder,W.J. Schroeder,"GE Corporate Research and Development Center, USA",10.1109/visual.1995.485142;10.1109/visual.1993.398868;10.1109/visual.1996.568124;10.1109/visual.1995.485142,,196.0,45.0,12.0,191.0,,,triangle decimation techniques;original topology mesh;data storage transmission;million;describes new progressive,0.6927;0.4503;0.1213;0.0928;0.0247,"[np.int64(-1), -1, -1, -1, -1]",102;-1;-1;-1;-1,102,102
VAST,2007,Visual Analytics Approach to User-Controlled Evacuation Scheduling,10.1109/vast.2007.4388995,http://dx.doi.org/10.1109/VAST.2007.4388995,43.0,50.0,C,"Application of the ideas of visual analytics is a promising approach to supporting decision making, in particular, where the problems have geographic (or spatial) and temporal aspects. Visual analytics may be especially helpful in time-critical applications, which pose hard challenges to decision support. We have designed a suite of tools to support transportation-planning tasks such as emergency evacuation of people from a disaster- affected area. The suite combines a tool for automated scheduling based on a genetic algorithm with visual analytics techniques allowing the user to evaluate tool results and direct its work. A transportation schedule, which is generated by the tool, is a complex construct involving geographical space, time, and heterogeneous objects (people and vehicles) with states and positions varying in time. We apply task-analytical approach to design techniques that could effectively support a human planner in the analysis of this complex information H. 1.2 [User/Machine Systems]: Human information processing - Visual Analytics; 1.6.9 [Visualization]: information visualization.",Gennady L. Andrienko;Natalia V. Andrienko;Ulrich Bartling,Gennady Andrienko;Natalia Andrienko;Ulrich Bartling,"Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Germany;Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Germany;Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Germany",,"Geovisualization, transportation planning, vehicle scheduling, task-centered design, coordinated multiple views",32.0,5.0,16.0,304.0,,,support transportation planning;varying time apply;genetic;evaluate tool results;applications pose hard,0.6015;0.2313;0.2304;0.1369;0.1249,"[np.int64(-1), -1, -1, -1, -1]",236;-1;-1;-1;-1,236,236
Vis,2004,Interactive point-based isosurface extraction,10.1109/visual.2004.52,http://dx.doi.org/10.1109/VISUAL.2004.52,457.0,464.0,C,"We propose a novel point-based approach to view dependent isosurface extraction. We introduce a fast visibility query system for the view dependent traversal, which exhibits moderate memory requirements. This technique allows for an interactive interrogation of the full visible woman dataset (1GB) at four to fifteen frames per second on a desktop computer. The point-based approach is built on an extraction scheme that classifies different sections of the isosurface into four categories, depending on the size of the geometry when projected onto the screen. In particular, we use points to represent small and subpixel triangles, as well as larger sections of the isosurface whose projection has subpixel size. To assign consistent and robust normals to individual points representing such regions, we propose to compute them during post processing of the extracted isosurface and provide the corresponding hardware implementation.",Yarden Livnat;Xavier Tricoche,Y. Livnat;X. Tricoche,"Scientific Computing and Imaging Institute, University of Utah, USA;Scientific Computing and Imaging Institute, University of Utah, USA",10.1109/visual.1998.745713;10.1109/visual.1998.745299;10.1109/visual.1997.663895;10.1109/visual.1995.480806;10.1109/visual.1996.568123;10.1109/visual.2002.1183810;10.1109/visual.1991.175780;10.1109/visual.1998.745300;10.1109/visual.1994.346334;10.1109/visual.1998.745713,"Isosurface, point-based, view-dependent, large datasets, interactive",64.0,16.0,30.0,107.0,,,view dependent isosurface;visible woman dataset;built extraction scheme;moderate memory requirements;point,0.6304;0.4580;0.2500;0.0924;0.0582,"[np.int64(-1), -1, -1, -1, -1]",229;-1;-1;-1;-1,229,229
InfoVis,2004,WilmaScope Graph Visualisation,10.1109/infvis.2004.77,http://dx.doi.org/10.1109/INFVIS.2004.77,,,M,"Our visualisation of the IEEE InfoVis citation network is based on 3D graph visualisation techniques. To make effective use of the third dimension we use a layered approach, constraining nodes to lie on parallel planes depending on parameters such as year of publication or link degree. Within the parallel planes nodes are arranged using a fast force-directed layout method. A number of clusters representing different research areas were identified using a self organising map approach.",Adel Ahmed;Tim Dwyer;Colin Murray;Le Song;Ying Xin Wu,A. Ahmed;T. Dwyer;C. Murray;Le Song;Ying Xin Wu,"School of Information Technologies, University of Sydney, Australia;School of Information Technologies, University of Sydney, Australia;School of Information Technologies, University of Sydney, Australia;School of Information Technologies, University of Sydney, Australia;School of Information Technologies, University of Sydney, Australia",,,28.0,5.0,7.0,238.0,,,3d graph visualisation;ieee infovis citation;self organising;using fast force;lie,0.6106;0.4344;0.2448;0.0495;-0.0524,"[np.int64(-1), -1, -1, -1, -1]",-1;-1;-1;-1;-1,,-1
Vis,2021,KD-Box: Line-segment-based KD-tree for Interactive Exploration of Large-scale Time-Series Data,10.1109/tvcg.2021.3114865,http://dx.doi.org/10.1109/TVCG.2021.3114865,890.0,900.0,J,"Time-series data-usually presented in the form of lines-plays an important role in many domains such as finance, meteorology, health, and urban informatics. Yet, little has been done to support interactive exploration of large-scale time-series data, which requires a clutter-free visual representation with low-latency interactions. In this paper, we contribute a novel line-segment-based KD-tree method to enable interactive analysis of many time series. Our method enables not only fast queries over time series in selected regions of interest but also a line splatting method for efficient computation of the density field and selection of representative lines. Further, we develop KD-Box, an interactive system that provides rich interactions, e.g., timebox, attribute filtering, and coordinated multiple views. We demonstrate the effectiveness of KD-Box in supporting efficient line query and density field computation through a quantitative comparison and show its usefulness for interactive visual analysis on several real-world datasets.",Yue Zhao;Yunhai Wang;Jian Zhang 0070;Chi-Wing Fu;Mingliang Xu;Dominik Moritz,Yue Zhao;Yunhai Wang;Jian Zhang;Chi-Wing Fu;Mingliang Xu;Dominik Moritz,"Shandong University, Qingdao, China;Shandong University, Qingdao, China;CNIC, CAS., United States;Chinese University of Hong Kong, China;Zhengzhou University, China;Carnegie Mellon University, United States",10.1109/infvis.2004.68;10.1109/tvcg.2011.226;10.1109/vast.2008.4677357;10.1109/tvcg.2010.176;10.1109/tvcg.2010.162;10.1109/tvcg.2013.179;10.1109/tvcg.2014.2346452;10.1109/visual.2005.1532779;10.1109/tvcg.2006.170;10.1109/tvcg.2011.181;10.1109/infvis.1999.801851;10.1109/infvis.2001.963273;10.1109/tvcg.2011.195,"Many time series,density-based visualization,interactive visualization for large-scale data",4.0,30.0,58.0,1225.0,,,interactive visual analysis;timebox attribute;density field computation;meteorology health;kd,0.5855;0.2511;0.2271;0.1611;0.1219,"[np.int64(-1), -1, -1, -1, -1]",318;-1;-1;-1;-1,318,318
Vis,2011,iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization,10.1109/tvcg.2011.218,http://dx.doi.org/10.1109/TVCG.2011.218,1959.0,1968.0,J,"The unguided visual exploration of volumetric data can be both a challenging and a time-consuming undertaking. Identifying a set of favorable vantage points at which to start exploratory expeditions can greatly reduce this effort and can also ensure that no important structures are being missed. Recent research efforts have focused on entropy-based viewpoint selection criteria that depend on scalar values describing the structures of interest. In contrast, we propose a viewpoint suggestion pipeline that is based on feature-clustering in high-dimensional space. We use gradient/normal variation as a metric to identify interesting local events and then cluster these via k-means to detect important salient composite features. Next, we compute the maximum possible exposure of these composite feature for different viewpoints and calculate a 2D entropy map parameterized in longitude and latitude to point out promising view orientations. Superimposed onto an interactive track-ball interface, users can then directly use this entropy map to quickly navigate to potentially interesting viewpoints where visibility-based transfer functions can be employed to generate volume renderings that minimize occlusions. To give full exploration freedom to the user, the entropy map is updated on the fly whenever a view has been selected, pointing to new and promising but so far unseen view directions. Alternatively, our system can also use a set-cover optimization algorithm to provide a minimal set of views needed to observe all features. The views so generated could then be saved into a list for further inspection or into a gallery for a summary presentation.",Ziyi Zheng;Nafees U. Ahmed;Klaus Mueller 0001,Ziyi Zheng;Nafees Ahmed;Klaus Mueller,"Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA;Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA;Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA",10.1109/tvcg.2009.156;10.1109/tvcg.2007.70576;10.1109/tvcg.2008.162;10.1109/tvcg.2008.159;10.1109/tvcg.2010.214;10.1109/tvcg.2009.172;10.1109/visual.2005.1532833;10.1109/visual.2005.1532818;10.1109/tvcg.2006.124;10.1109/tvcg.2009.185;10.1109/tvcg.2009.189;10.1109/visual.2003.1250414;10.1109/visual.2005.1532834;10.1109/tvcg.2009.156,"Direct volume rendering, k-means, entropy, view suggestion, set-cover problem, ant colony optimization",31.0,18.0,42.0,833.0,,,visual exploration volumetric;local events cluster;cover optimization algorithm;directly use entropy;map parameterized longitude,0.6591;0.2753;0.2236;0.2055;0.1655,"[np.int64(-1), -1, -1, -1, -1]",84;-1;-1;-1;-1,84,84
VAST,2009,Merging visual analysis with automated reasoning: Using Prajna to solve the traffic challenge,10.1109/vast.2009.5332481,http://dx.doi.org/10.1109/VAST.2009.5332481,,,M,"The Internet traffic challenge required the development of a custom application to analyze internet traffic patterns coupled with building access records. To solve this challenge, the author applied the Prajna Project, an open-source Java toolkit designed to provide various capabilities for visualization, knowledge representation, semantic reasoning, and data fusion. By applying some of the capabilities of Prajna to this challenge, the author could quickly develop a custom application for visual analysis. The author determined that he could solve some of the analytical components of this challenge using automated reasoning techniques. Prajna includes interfaces to incorporate automated reasoners into visual applications. By blending the automated reasoning processes with visual analysis, the author could design a flexible, useful application to solve this challenge.",Edward Swing,Edward Swing,"Vision Systems & Technology, Inc., USA",0.1109/vast.2006.261430,,0.0,0.0,4.0,118.0,,,analyze internet traffic;knowledge representation semantic;applications blending automated;building access;techniques prajna includes,0.5840;0.3422;0.2991;0.2508;0.1370,"[np.int64(-1), -1, -1, -1, -1]",64;-1;-1;-1;-1,64,64
Vis,1995,3D computational steering with parametrized geometric objects,10.1109/visual.1995.485143,http://dx.doi.org/10.1109/VISUAL.1995.485143,304.0,,C,"Computational steering is the ultimate goal of interactive simulation: researchers change parameters of their simulation and immediately receive feedback on the effect. We present a general and flexible graphics tool that is part of an environment for computational steering developed at CWI. It enables the researcher to interactively develop his own interface with the simulation. This interface is constructed with 3D parametrized geometric objects. The properties of the objects are parametrized to output data and input parameters of the simulation. The objects visualize the output of the simulation, while the researcher can steer the simulation by direct manipulation of the objects. Several applications of 3D computational steering are presented.",Jurriaan D. Mulder;Jarke J. van Wijk,J.D. Mulder;J.J. van Wijk,"Centre for Mathematics,Computer Science, CWI, Amsterdam, Netherlands;Netherlands Energy Research, Foundation ECN, Petten, Netherlands",10.1109/visual.1991.175812;10.1109/visual.1993.398895;10.1109/visual.1990.146382;10.1109/visual.1991.175812,,,12.0,16.0,72.0,,,interactive simulation;steering developed cwi;3d parametrized geometric;researchers change;objects properties objects,0.6247;0.4493;0.3244;0.1039;0.0807,"[np.int64(-1), -1, -1, -1, -1]",218;-1;-1;-1;-1,218,218
Vis,2021,KG4Vis: A Knowledge Graph-Based Approach for Visualization Recommendation,10.1109/tvcg.2021.3114863,http://dx.doi.org/10.1109/TVCG.2021.3114863,195.0,205.0,J,"Visualization recommendation or automatic visualization generation can significantly lower the barriers for general users to rapidly create effective data visualizations, especially for those users without a background in data visualizations. However, existing rule-based approaches require tedious manual specifications of visualization rules by visualization experts. Other machine learning-based approaches often work like black-box and are difficult to understand why a specific visualization is recommended, limiting the wider adoption of these approaches. This paper fills the gap by presenting KG4Vis, a knowledge graph (KG)-based approach for visualization recommendation. It does not require manual specifications of visualization rules and can also guarantee good explainability. Specifically, we propose a framework for building knowledge graphs, consisting of three types of entities (i.e., data features, data columns and visualization design choices) and the relations between them, to model the mapping rules between data and effective visualizations. A TransE-based embedding technique is employed to learn the embeddings of both entities and relations of the knowledge graph from existing dataset-visualization pairs. Such embeddings intrinsically model the desirable visualization rules. Then, given a new dataset, effective visualizations can be inferred from the knowledge graph with semantically meaningful rules. We conducted extensive evaluations to assess the proposed approach, including quantitative comparisons, case studies and expert interviews. The results demonstrate the effectiveness of our approach.",Haotian Li 0001;Yong Wang 0021;Songheng Zhang;Yangqiu Song;Huamin Qu,Haotian Li;Yong Wang;Songheng Zhang;Yangqiu Song;Huamin Qu,"Hong Kong University of Science and Technology and Singapore Management University, Hong Kong;Singapore Management University, Singapore;Singapore Management University, Singapore;Hong Kong University of Science and Technology, Hong Kong;Hong Kong University of Science and Technology, Hong Kong",10.1109/tvcg.2011.185;10.1109/tvcg.2020.3030338;10.1109/tvcg.2019.2934810;10.1109/tvcg.2020.3030469;10.1109/tvcg.2007.70594;10.1109/tvcg.2018.2864812;10.1109/tvcg.2018.2865240;10.1109/tvcg.2015.2467091;10.1109/tvcg.2019.2934798;10.1109/tvcg.2015.2467191;10.1109/tvcg.2020.3030423;10.1109/tvcg.2011.185,"Data visualization,Visualization recommendation,Knowledge graph",17.0,69.0,60.0,3452.0,HM,,visualization recommendation automatic;building knowledge graphs;model mapping rules;lower barriers;employed,0.7211;0.4235;0.2265;0.1271;0.0478,"[np.int64(-1), -1, -1, -1, -1]",264;-1;-1;-1;-1,264,264
InfoVis,2017,Nonlinear Dot Plots,10.1109/tvcg.2017.2744018,http://dx.doi.org/10.1109/TVCG.2017.2744018,616.0,625.0,J,"Conventional dot plots use a constant dot size and are typically applied to show the frequency distribution of small data sets. Unfortunately, they are not designed for a high dynamic range of frequencies. We address this problem by introducing nonlinear dot plots. Adopting the idea of nonlinear scaling from logarithmic bar charts, our plots allow for dots of varying size so that columns with a large number of samples are reduced in height. For the construction of these diagrams, we introduce an efficient two-way sweep algorithm that leads to a dense and symmetrical layout. We compensate aliasing artifacts at high dot densities by a specifically designed low-pass filtering method. Examples of nonlinear dot plots are compared to conventional dot plots as well as linear and logarithmic histograms. Finally, we include feedback from an expert review.",Nils Rodrigues;Daniel Weiskopf,Nils Rodrigues;Daniel Weiskopf,"VISUS, University of Stuttgart, Germany;VISUS, University of Stuttgart, Germany",10.1109/tvcg.2016.2598592;10.1109/tvcg.2014.2346428;10.1109/tvcg.2010.197;10.1109/tvcg.2011.160;10.1109/tvcg.2009.127;10.1109/tvcg.2016.2598592,"Nonlinear dot plot,statistical graphics,sweep algorithm,layout",14.0,10.0,38.0,1146.0,,,dot plots;scaling logarithmic bar;high dynamic range;efficient way sweep;allow,0.6524;0.3162;0.2999;0.1873;-0.0262,"[np.int64(-1), -1, -1, -1, -1]",152;-1;-1;-1;-1,152,152
Vis,2005,Prefiltered Gaussian reconstruction for high-quality rendering of volumetric data sampled on a body-centered cubic grid,10.1109/visual.2005.1532810,http://dx.doi.org/10.1109/VISUAL.2005.1532810,311.0,318.0,C,"In this paper a novel high-quality reconstruction scheme is presented. Although our method is mainly proposed to reconstruct volumetric data sampled on an optimal body-centered cubic (BCC) grid, it can be easily adapted lo the conventional regular rectilinear grid as well. The reconstruction process is decomposed into two steps. The first step, which is considered to be a preprocessing, is a discrete Gaussian deconvolution performed only once in the frequency domain. Afterwards, the second step is a spatial-domain convolution with a truncated Gaussian kernel, which is used to interpolate arbitrary samples for ray casting. Since the preprocessing is actually a discrete prefiltering, we call our technique prefiltered Gaussian reconstruction (PGR). It is shown that the impulse response of PGR well approximates the ideal reconstruction kernel. Therefore the quality of PGR is much higher than that of previous reconstruction techniques proposed for optimally sampled data, which are based on linear and cubic box splines adapted to the BCC grid. Concerning the performance, PGR is slower than linear box-spline reconstruction but significantly faster than cubic box-spline reconstruction.",Balázs Csébfalvi,B. Csebfalvi,"Department of Control Engineering and Information Technology, Budapest University슠of슠Technology슠and슠Economics, Hungary",10.1109/visual.2004.70;10.1109/visual.2004.65;10.1109/visual.2001.964498;10.1109/visual.1997.663848;10.1109/visual.1994.346331;10.1109/visual.2001.964499;10.1109/visual.2004.70,"Body-Centered Cubic Grid, Reconstruction, Optimal Regular Volume Sampling, Radial Basis Function Interpolation",44.0,8.0,31.0,123.0,,,rectilinear grid reconstruction;ray casting;actually discrete prefiltering;optimal body;performed frequency,0.6068;0.3573;0.2413;0.1725;0.0011,"[np.int64(-1), -1, -1, -1, -1]",102;-1;-1;-1;-1,102,102
